row,a1_slug,a1_category,a1_topic,a1_excerpt,a2_draft_path,a3_done,a4_done,a4_source,a5_pin_images_found,a5_pin_variants_found,a5_done,a6_done,a7_done
1,add-flavor-without-more-sugar-tricks,nutrition,"Add Flavor Without More Sugar: Cinnamon, Vanilla, Citrus, and Cocoa Tricks","Sugar isn't the only way to make food taste good. Here's how cinnamon, vanilla, citrus, and cocoa can do the heavy lifting in your kitchen without any extra sweetener.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/add-flavor-without-more-sugar-tricks.md,False,True,pinterest-copy-batch.json,0,,False,False,False
2,big-flavor-less-salt-citrus-herbs-umami-swaps,nutrition,"Big Flavor With Less Salt: Citrus, Herbs, and Umami Pantry Swaps","Want big flavor with less salt without eating sad food? Use acid, herbs, and a few umami pantry staples. This guide gives simple swaps, quick formulas, and weeknight examples that taste like you tried harder than you did.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/big-flavor-less-salt-citrus-herbs-umami-swaps.md,False,True,pinterest-copy-batch.json,0,,False,False,False
3,cauliflower-fried-rice-with-eggs,recipes,Cauliflower Fried Rice With Eggs That Doesn't Taste Sad,"This cauliflower fried rice with eggs is a low carb weeknight dinner that actually satisfies. No mushy vegetables, just a quick, flavor-packed skillet meal.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/cauliflower-fried-rice-with-eggs.md,False,False,,0,,False,False,False
4,chicken-veggie-lettuce-wraps-peanut-sauce,recipes,Chicken and Veggie Lettuce Wraps With Quick Peanut Sauce,"These chicken and veggie lettuce wraps are light, crunchy, and ready in 20 minutes. The quick peanut sauce is so good you'll want to put it on everything.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/chicken-veggie-lettuce-wraps-peanut-sauce.md,False,True,pinterest-copy-batch.json,0,,False,False,False
5,cooking-for-picky-adults-simple-options,nutrition,What to Eat When You're Cooking for a Non-Adventurous Eater,Cooking for picky adults doesn't mean making separate meals forever. These simple options help you work with strong preferences instead of fighting them at the dinner table.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/cooking-for-picky-adults-simple-options.md,False,True,pinterest-copy-batch.json,0,,False,False,False
6,cooking-oils-smoke-points-best-uses,nutrition,Cooking Oils in the Kitchen: Smoke Points and Best Uses (Simple Chart),"Not all cooking oils belong in every pan. This simple guide covers smoke points, best uses, and when to swap so you stop ruining dinner with the wrong oil at the wrong heat.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/cooking-oils-smoke-points-best-uses.md,False,True,pinterest-copy-batch.json,0,,False,False,False
7,cottage-cheese-vs-greek-yogurt-protein-uses,nutrition,"Cottage Cheese vs Greek Yogurt: Taste, Uses, and Protein Compared",Deciding between cottage cheese vs Greek yogurt doesn't have to be confusing. Here's a practical breakdown of how to use both for better meals.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/cottage-cheese-vs-greek-yogurt-protein-uses.md,False,True,pinterest-copy-batch.json,0,,False,False,False
8,creamy-mushroom-barley-risotto-hands-off,recipes,"Creamy Mushroom and Barley \""Risotto\"" (Mostly Hands-Off Method)",Get the cozy creaminess of a mushroom risotto without standing over the stove for 40 minutes stirring constantly. Barley does the hard work for you.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/creamy-mushroom-barley-risotto-hands-off.md,False,True,pinterest-copy-batch.json,0,,False,False,False
9,creamy-tomato-orzo-white-beans-one-pot,recipes,Creamy Tomato Orzo With White Beans (One Pot),"This creamy tomato orzo with white beans is a cozy, one-pot dinner that comes together fast. It's basically the comfort of risotto without the endless stirring.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/creamy-tomato-orzo-white-beans-one-pot.md,False,True,pinterest-copy-batch.json,0,,False,False,False
10,crispy-smashed-potato-salad-dijon-herbs,recipes,Crispy Smashed Potato Salad With Dijon and Herbs,"This crispy smashed potato salad with Dijon and herbs changes the game. Forget the soggy mayo version. We're talking crispy roasted potatoes tossed in a sharp, bright vinaigrette.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/crispy-smashed-potato-salad-dijon-herbs.md,False,True,pinterest-copy-batch.json,0,,False,False,False
11,cucumber-edamame-salad-sesame,recipes,Japanese-Inspired Cucumber and Edamame Salad With Sesame,"This Japanese-inspired cucumber and edamame salad is crisp, refreshing, and packed with plant protein. A toasted sesame dressing brings it all together in under fifteen minutes.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/cucumber-edamame-salad-sesame.md,False,True,pinterest-copy-batch.json,0,,False,False,False
12,cutting-board-basics-which-to-use,tips,Cutting Board Basics: Which One to Use for What,"Wood, plastic, or bamboo? Here is a no-nonsense guide to cutting board basics, which one to use for raw meat, and how to keep them from getting ruined.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/cutting-board-basics-which-to-use.md,False,True,pinterest-copy-batch.json,0,,False,False,False
13,farro-lunch-bowl-roasted-vegetables-lemon-tahini,recipes,Farro Lunch Bowl With Roasted Vegetables and Lemon Tahini,"This farro lunch bowl is the meal prep answer when you want something hearty, not sad. Chewy farro, roasted vegetables, and a lemon tahini sauce that makes leftovers feel intentional.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/farro-lunch-bowl-roasted-vegetables-lemon-tahini.md,False,True,pinterest-copy-batch.json,0,,False,False,False
14,fix-oversalted-soup-sauce-rice,tips,"How to Fix Oversalted Soup, Sauce, and Rice (Without Starting Over)","A heavy hand with the salt shaker doesn't have to mean dinner is ruined. Here are reliable ways to rescue oversalted soup, sauce, and rice before you throw the pot out.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/fix-oversalted-soup-sauce-rice.md,False,True,pinterest-copy-batch.json,0,,False,False,False
15,freezer-inventory-simple-system,tips,Freezer Inventory: A Simple System That Prevents Mystery Bags,"If your freezer is where good intentions go to freeze over, you need an inventory system. Here is a practical, low-effort way to track what you have before it turns into an unrecognizable block of ice.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/freezer-inventory-simple-system.md,False,True,pinterest-copy-batch.json,0,,False,False,False
16,frozen-vs-fresh-produce-when-to-buy,nutrition,Frozen vs Fresh Produce: When Each Makes More Sense,"The frozen vs fresh produce debate has a boring answer: it depends. Here's a practical breakdown of when to buy frozen, when fresh actually matters, and when it honestly doesn't.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/frozen-vs-fresh-produce-when-to-buy.md,False,True,pinterest-copy-batch.json,0,,False,False,False
17,good-source-of-fiber-label-meaning,nutrition,What 'Good Source of Fiber' Means on a Label (And What It Doesn't),"That 'good source of fiber' claim on your cereal box follows specific FDA rules. Here's what the label actually tells you, what it leaves out, and how to read past the marketing.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/good-source-of-fiber-label-meaning.md,False,True,pinterest-copy-batch.json,0,,False,False,False
18,grab-and-go-fridge-snack-drawer,tips,How to Make a Grab-and-Go Snack Drawer in Your Fridge,"When you're hungry and tired, you grab whatever is easiest. Here is how to build a grab-and-go snack drawer so the easy choice is actually a good one.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/grab-and-go-fridge-snack-drawer.md,False,True,pinterest-copy-batch.json,0,,False,False,False
19,high-fiber-raspberry-jam-recipe-chia,recipes,High Fiber Raspberry Jam Recipe Using Chia Seeds,"Skip the cups of refined sugar. This high fiber raspberry jam recipe uses chia seeds to thicken naturally, giving you real fruit flavor in about ten minutes.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/high-fiber-raspberry-jam-recipe-chia.md,False,False,pins.json(v1 only),0,,False,False,False
20,how-to-choose-granola-not-dessert,nutrition,How to Choose a Granola That Isn't Dessert,Most store-bought granola is closer to a cookie than a breakfast. Here's how to choose granola that's actually reasonable by reading labels like someone who's been burned before.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-choose-granola-not-dessert.md,False,True,pinterest-copy-batch.json,0,,False,False,False
21,how-to-clean-blender-fast-no-scrub,tips,How to Clean a Blender Fast (No Scrubbing),"Stop taking your blender completely apart just to wash it. This fast, no-scrub method cleans the blades safely and gets you out of the kitchen faster.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-clean-blender-fast-no-scrub.md,False,True,pinterest-copy-batch.json,0,,False,False,False
22,how-to-cool-rice-for-fried-rice,tips,How to Cool Rice for Fried Rice (So It Doesn't Turn to Mush),"Hot, freshly cooked rice is the enemy of a good stir fry. Here is exactly how to cool rice for fried rice when you forgot to make it yesterday.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-cool-rice-for-fried-rice.md,False,False,,0,,False,False,False
23,how-to-double-recipe-seasoning-without-guessing,tips,How to Double a Recipe Without Over-Salting or Under-Seasoning,"Math is not cooking. Here is how to double a recipe without over-salting, under-seasoning, or ruining the balance of your meal.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-double-recipe-seasoning-without-guessing.md,False,True,pinterest-copy-batch.json,0,,False,False,False
24,how-to-pack-lunch-crisp-sandwiches-salads,tips,How to Pack Lunch So Sandwiches and Salads Stay Crisp,Nobody likes a soggy sandwich or wilted lettuce. Learn exactly how to pack lunch so sandwiches and salads stay crisp until you are ready to eat.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-pack-lunch-crisp-sandwiches-salads.md,False,True,pinterest-copy-batch.json,0,,False,False,False
25,how-to-pack-salad-for-work-not-soggy,tips,How to Pack Salad for Work (And Actually Look Forward to It),"If you pack salad for work and it turns into a soggy mess by noon, you are layering it wrong. Here is the dead simple fix for crisp lunches.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-pack-salad-for-work-not-soggy.md,False,False,,0,,False,False,False
26,how-to-preheat-skillet-even-browning,tips,How to Preheat a Skillet for More Even Browning,"Stop putting food into cold pans. Here is the right way to preheat a skillet for more even browning, better crusts, and less sticking.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-preheat-skillet-even-browning.md,False,True,pinterest-copy-batch.json,0,,False,False,False
27,how-to-quick-soak-dried-beans-same-day,tips,How to Quick-Soak Dried Beans the Same Day,Forgot to soak your beans last night? Here is exactly how to quick-soak dried beans the same day so dinner is not ruined.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/how-to-quick-soak-dried-beans-same-day.md,False,True,pinterest-copy-batch.json,0,,False,False,False
28,keep-berries-fresh-longer-when-to-wash,tips,How to Keep Berries Fresh Longer (And When to Wash Them),Stop throwing away fuzzy strawberries. Here is the exact method to keep berries fresh longer in the fridge without turning them into an accidental science experiment.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/keep-berries-fresh-longer-when-to-wash.md,False,True,pinterest-copy-batch.json,0,,False,False,False
29,overnight-oats-without-protein-powder-3-ways,recipes,High-Protein Overnight Oats Without Protein Powder (3 Ways),Skip the chalky supplements. Here are three simple ways to make high-protein overnight oats using real ingredients you already have in the kitchen.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/overnight-oats-without-protein-powder-3-ways.md,False,True,pinterest-copy-batch.json,0,,False,False,False
30,plan-week-of-dinners-fewer-grocery-runs,nutrition,How to Plan a Week of Dinners With Fewer Grocery Runs,You don't need a Pinterest-perfect meal plan. Here's a practical system to plan a week of dinners with fewer grocery runs and way less wasted food.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/plan-week-of-dinners-fewer-grocery-runs.md,False,True,pinterest-copy-batch.json,0,,False,False,False
31,prebiotic-foods-beyond-the-buzzwords,nutrition,Prebiotic Foods Beyond the Buzzwords,You do not need a pricey supplement to feed your gut bacteria. Prebiotic foods are sitting right there in your kitchen. Here is what actually matters.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/prebiotic-foods-beyond-the-buzzwords.md,False,False,,0,,False,False,False
32,protein-color-crunch-easy-lunch-formula,nutrition,"The Protein, Color, and Crunch Formula for Easy Lunches","Stop staring at the fridge at noon. The protein, color, crunch formula gives you a dead simple framework for building lunches that are filling, interesting, and don't require a recipe.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/protein-color-crunch-easy-lunch-formula.md,False,True,pinterest-copy-batch.json,0,,False,False,False
33,protein-per-serving-beans-chicken-tofu-compared,nutrition,"Protein per Serving: Beans, Chicken, Tofu, and Pantry Staples Compared","If you have ever wondered what protein per serving actually looks like in normal foods, you are in the right place. This guide compares beans, chicken, tofu, and pantry staples in practical portions, plus simple ways to build meals without overthinking it.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/protein-per-serving-beans-chicken-tofu-compared.md,False,True,pinterest-copy-batch.json,0,,False,False,False
34,reheat-pizza-crust-stays-crisp,tips,The Best Way to Reheat Pizza So the Crust Stays Crisp,"The microwave makes it rubbery, and the oven takes too long. Here is the stovetop trick to reheat pizza so the cheese melts and the crust stays perfectly crisp.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/reheat-pizza-crust-stays-crisp.md,False,True,pinterest-copy-batch.json,0,,False,False,False
35,ricotta-berry-toast-bar-no-cook,recipes,"Ricotta and Berry Toast Bar (Sweet, Fast, No-Cook)","Move over avocado toast. A ricotta and berry toast bar is the easiest, no-cook breakfast or snack that feels fancy but takes exactly three minutes to put together.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/ricotta-berry-toast-bar-no-cook.md,False,True,pinterest-copy-batch.json,0,,False,False,False
36,roasted-cauliflower-lentil-tacos-lime-crema,recipes,Roasted Cauliflower and Lentil Tacos With Lime Crema,"Skip the ground beef tonight. These roasted cauliflower and lentil tacos bring crunch, spice, and a tangy lime crema that ties the whole meal together without a ton of effort.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/roasted-cauliflower-lentil-tacos-lime-crema.md,False,True,pinterest-copy-batch.json,0,,False,False,False
37,savory-cottage-cheese-lunch-bowls-three-ways,recipes,Savory Cottage Cheese Lunch Bowls Three Ways,"These savory cottage cheese lunch bowls are a zero-cook lunch that feels like a real meal. Pick a flavor lane, add crunch, and you are not stuck eating a sad desk yogurt again.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/savory-cottage-cheese-lunch-bowls-three-ways.md,False,True,pinterest-copy-batch.json,0,,False,False,False
38,selenium-containing-foods-easy-ways,nutrition,Selenium-Containing Foods (And Easy Ways to Use Them in Meals),You don't need a confusing supplement routine to get enough selenium. Here are practical ways to add selenium-containing foods to your normal weekly meals.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/selenium-containing-foods-easy-ways.md,False,True,pinterest-copy-batch.json,0,,False,False,False
39,shakshuka-with-chickpeas-and-spinach,recipes,Shakshuka With Chickpeas and Spinach (One-Skillet Dinner),A simple shakshuka with chickpeas and spinach that comes together in one skillet. It is an easy vegetarian dinner that feels like you cooked all afternoon.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/shakshuka-with-chickpeas-and-spinach.md,False,True,pinterest-copy-batch.json,0,,False,False,False
40,sheet-pan-ginger-tofu-broccoli-sticky-glaze,recipes,Sheet Pan Ginger Tofu and Broccoli With Quick Sticky Glaze,This sheet pan ginger tofu and broccoli is the weeknight move when you want crispy edges without babysitting the stove. The quick sticky glaze comes together in minutes and makes tofu taste like a plan.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/sheet-pan-ginger-tofu-broccoli-sticky-glaze.md,False,True,pinterest-copy-batch.json,0,,False,False,False
41,sheet-pan-organization-cook-vs-cool,tips,"Sheet Pan Organization: One Pan for Cooking, One for Cooling",A simple mindset shift for your baking sheets can change how you prep food. Learn why assigning one pan for cooking and one for cooling solves crowded counters and soggy food.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/sheet-pan-organization-cook-vs-cool.md,False,True,pinterest-copy-batch.json,0,,False,False,False
42,simple-snack-portioning-guide,nutrition,A Simple Guide to Portioning Snacks (So You Don't Finish the Bag),Portion control sounds boring until you're staring at an empty bag of trail mix wondering what happened. This simple snack portioning guide uses real strategies that don't require a food scale or willpower speeches.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/simple-snack-portioning-guide.md,False,True,pinterest-copy-batch.json,0,,False,False,False
43,slow-cooker-salsa-verde-chicken-bowls,recipes,Slow Cooker Salsa Verde Chicken Bowls (Freeze-Friendly),"Toss chicken and salsa verde into a slow cooker and walk away. These bowls are the ultimate meal prep hack, giving you tender, flavorful chicken for dinners and lunches all week long.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/slow-cooker-salsa-verde-chicken-bowls.md,False,True,pinterest-copy-batch.json,0,,False,False,False
44,stop-garlic-from-burning-timing-heat,tips,How to Stop Garlic From Burning (Timing and Heat Tricks),"Burned garlic ruins the whole pot. Here is exactly how to stop garlic from burning, when to add it to the pan, and why the heat is probably too high.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/stop-garlic-from-burning-timing-heat.md,False,True,pinterest-copy-batch.json,0,,False,False,False
45,store-cut-produce-without-odor,tips,"How to Store Cut Onions, Lemons, and Half-Used Produce Without Odor",Stop letting half an onion ruin everything else in your fridge. Here are simple ways to store cut produce so it stays fresh and your milk doesn't taste like garlic.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/store-cut-produce-without-odor.md,False,True,pinterest-copy-batch.json,0,,False,False,False
46,stuffed-portobello-mushrooms-quinoa-spinach-feta,recipes,"Stuffed Portobello Mushrooms With Quinoa, Spinach, and Feta","These stuffed portobello mushrooms are a simple vegetarian dinner that feels fancy without the effort. Quinoa, spinach, and feta turn big mushrooms into a legit main dish you can actually repeat.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/stuffed-portobello-mushrooms-quinoa-spinach-feta.md,False,True,pinterest-copy-batch.json,0,,False,False,False
47,ten-minute-kitchen-reset-routine,tips,The 10-Minute Kitchen Reset Routine That Keeps Things Tidy,You don't need a deep clean every night. A quick ten minute kitchen reset routine is enough to stop the mess from snowballing and make mornings way less stressful.,C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/ten-minute-kitchen-reset-routine.md,False,True,pinterest-copy-batch.json,0,,False,False,False
48,teriyaki-tempeh-broccoli-rice-bowl,recipes,Teriyaki Tempeh and Broccoli Rice Bowl,"If tofu is not your thing, tempeh might be. This teriyaki tempeh and broccoli rice bowl is a fast, hearty plant-based dinner that actually fills you up.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/teriyaki-tempeh-broccoli-rice-bowl.md,False,False,,0,,False,False,False
49,tuscan-white-bean-kale-soup-stovetop,recipes,Tuscan White Bean and Kale Soup (Simple Stovetop Version),"A pantry friendly Tuscan white bean kale soup you can make on the stovetop in under an hour. Chewy kale, creamy beans, and a broth that tastes like it simmered all afternoon.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/tuscan-white-bean-kale-soup-stovetop.md,False,True,pinterest-copy-batch.json,5,"1,2,3,4,5",True,False,False
50,vegetable-fried-rice-frozen-veg,recipes,Vegetable Fried Rice Using Frozen Veggies (Better-Than-Takeout Style),"A fast and realistic vegetable fried rice using frozen veggies. No chopping required, ready in fifteen minutes, and it actually tastes good.",C:/Users/offic/Desktop/dlh-fresh/pipeline-data/drafts/vegetable-fried-rice-frozen-veg.md,False,True,pinterest-copy-batch.json,0,,False,False,False
