url,type,gsc_2026_07_23,bing_2026_07_23,action_2026_07_23
https://www.daily-life-hacks.com/fiber-per-dollar-cheapest-high-fiber-foods/,study,discovered_not_indexed,submitted,requested_gsc_and_bing
https://www.daily-life-hacks.com/fast-food-protein-per-dollar-ranked/,study,discovered_not_indexed,submitted,requested_gsc_and_bing
https://www.daily-life-hacks.com/protein-per-dollar-adjusted-for-quality/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/fiber-protein-daily-values-explained/,explainer,unknown_to_google,submitted,requested_gsc_and_bing
https://www.daily-life-hacks.com/is-driving-to-cheaper-grocery-store-worth-it/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/tools/,hub,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/tools/fiber-per-dollar-calculator/,tool,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/tools/grocery-budget-calculator/,tool,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/tools/grocery-trip-savings-calculator/,tool,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/tools/recipe-finder/,tool,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/tools/shopping-list-builder/,tool,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/breakfast-staples-per-dollar/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/cheapest-complete-protein-pairs/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/dairy-protein-per-dollar-ranked/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/eggs-vs-everything-protein-value/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/grains-fiber-per-dollar-ranked/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/high-fiber-snacks-per-dollar/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/meat-per-dollar-protein-ranked/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/produce-fiber-per-dollar-ranked/,study,not_inspected,submitted,submitted_bing
https://www.daily-life-hacks.com/shelf-stable-pantry-per-dollar/,study,not_inspected,submitted,submitted_bing
